(5000, 60, 8, 3, 33, 64, 1)
(5001, 56, 15, 4, 54, 10, 1)
(5002, 36, 12, 4, 9, 29, 1)
(5003, 40, 10, 2, 90, 79, 1)
(5004, 42, 15, 1, 99, 50, 1)
(5005, 48, 12, 3, 40, 32, 0)
(5006, 24, 10, 2, 142, 99, 1)
(5007, 48, 8, 2, 140, 67, 0)
(5008, 60, 10, 2, 30, 127, 1)
(5009, 20, 15, 1, 49, 138, 1)
(5010, 30, 12, 1, 119, 76, 1)
(5011, 56, 15, 1, 8, 68, 1)
(5012, 30, 12, 4, 111, 42, 1)
(5013, 40, 10, 3, 43, 98, 1)
(5014, 20, 12, 2, 132, 80, 1)
(5015, 60, 15, 2, 16, 130, 0)
(5016, 60, 15, 1, 136, 51, 1)
(5017, 30, 8, 3, 140, 61, 1)
(5018, 48, 12, 4, 33, 117, 1)
(5019, 56, 12, 2, 4, 99, 1)
(5020, 48, 10, 2, 63, 77, 1)
(5021, 60, 8, 4, 133, 55, 1)
(5022, 24, 8, 2, 80, 37, 1)
(5023, 48, 15, 2, 71, 93, 1)
(5024, 36, 15, 3, 122, 95, 1)
(5025, 60, 10, 2, 121, 113, 1)
(5026, 20, 12, 4, 22, 116, 0)
(5027, 48, 15, 2, 67, 7, 1)
(5028, 56, 10, 2, 60, 57, 1)
(5029, 48, 12, 4, 32, 103, 1)
(5030, 30, 8, 3, 134, 40, 1)
(5031, 20, 15, 4, 114, 119, 1)
(5032, 56, 10, 1, 141, 140, 1)
(5033, 40, 10, 4, 124, 2, 1)
(5034, 56, 12, 4, 105, 97, 1)
(5035, 30, 15, 4, 32, 63, 1)
(5036, 60, 10, 3, 52, 114, 1)
(5037, 20, 15, 4, 97, 115, 1)
(5038, 50, 8, 3, 68, 84, 1)
(5039, 36, 8, 3, 4, 43, 0)
(5040, 20, 12, 4, 22, 111, 1)
(5041, 20, 12, 2, 72, 133, 1)
(5042, 36, 8, 2, 129, 120, 1)
(5043, 56, 10, 4, 77, 58, 1)
(5044, 50, 12, 3, 36, 9, 1)
(5045, 30, 12, 4, 86, 91, 1)
(5046, 50, 10, 2, 71, 140, 1)
(5047, 24, 8, 1, 134, 60, 1)
(5048, 48, 10, 4, 77, 106, 1)
(5049, 36, 12, 1, 29, 100, 1)
(5050, 56, 15, 4, 92, 45, 0)
(5051, 60, 10, 3, 125, 4, 1)
(5052, 24, 8, 4, 7, 20, 1)
(5053, 56, 8, 2, 61, 101, 1)
(5054, 40, 10, 1, 21, 5, 1)
(5055, 36, 12, 1, 65, 17, 1)
(5056, 48, 10, 3, 118, 90, 1)
(5057, 50, 12, 4, 101, 12, 1)
(5058, 30, 15, 3, 70, 104, 1)
(5059, 36, 8, 4, 38, 106, 0)
(5060, 50, 12, 2, 97, 83, 1)
(5061, 30, 10, 3, 34, 104, 1)
(5062, 40, 8, 2, 20, 102, 1)
(5063, 60, 8, 3, 5, 59, 1)
(5064, 48, 8, 2, 96, 78, 1)
(5065, 30, 12, 4, 62, 127, 1)
(5066, 48, 15, 1, 112, 70, 1)
(5067, 50, 15, 2, 69, 120, 1)
(5068, 20, 12, 1, 3, 119, 1)
(5069, 24, 8, 4, 74, 85, 1)
(5070, 30, 8, 1, 118, 24, 1)
(5071, 48, 12, 3, 58, 69, 1)
(5072, 56, 10, 1, 95, 87, 1)
(5073, 24, 10, 3, 12, 102, 1)
(5074, 36, 8, 4, 91, 98, 1)
(5075, 30, 8, 3, 90, 122, 1)
(5076, 36, 12, 2, 73, 13, 1)
(5077, 30, 10, 3, 89, 48, 1)
(5078, 24, 12, 2, 67, 35, 1)
(5079, 24, 12, 4, 46, 94, 1)
(5080, 48, 8, 1, 47, 12, 1)
(5081, 40, 8, 3, 7, 65, 1)
(5082, 30, 8, 4, 113, 82, 1)
(5083, 50, 15, 2, 48, 131, 1)
(5084, 36, 8, 2, 8, 131, 1)
(5085, 56, 10, 2, 110, 139, 1)
(5086, 50, 10, 4, 96, 28, 1)
(5087, 24, 8, 4, 31, 44, 1)
(5088, 36, 8, 4, 75, 74, 1)
(5089, 20, 10, 3, 48, 41, 1)
(5090, 20, 15, 3, 129, 23, 1)
(5091, 60, 12, 2, 59, 82, 1)
(5092, 42, 8, 4, 6, 11, 1)
(5093, 24, 15, 2, 1, 109, 1)
(5094, 42, 10, 2, 19, 10, 1)
(5095, 48, 10, 2, 63, 38, 1)
(5096, 48, 10, 4, 56, 128, 1)
(5097, 42, 8, 3, 102, 15, 1)
(5098, 20, 8, 1, 49, 22, 1)
(5099, 20, 10, 3, 103, 38, 1)
(5100, 48, 8, 3, 100, 33, 1)
(5101, 40, 12, 1, 10, 52, 1)
(5102, 20, 15, 4, 111, 97, 0)
(5103, 56, 8, 4, 89, 8, 1)
(5104, 42, 12, 2, 74, 25, 1)
(5105, 56, 12, 3, 115, 39, 1)
(5106, 50, 12, 3, 45, 76, 1)
(5107, 42, 10, 4, 53, 101, 1)
(5108, 40, 12, 2, 79, 4, 1)
(5109, 42, 12, 3, 66, 16, 1)
(5110, 56, 10, 2, 139, 141, 1)
(5111, 40, 8, 2, 82, 135, 1)
(5112, 20, 10, 1, 73, 32, 1)
(5113, 40, 8, 4, 78, 54, 1)
(5114, 60, 12, 1, 25, 18, 1)
(5115, 36, 12, 2, 28, 31, 1)
(5116, 30, 10, 2, 17, 15, 1)
(5117, 42, 8, 2, 85, 81, 1)
(5118, 24, 15, 2, 76, 51, 1)
(5119, 56, 15, 4, 121, 59, 1)
(5120, 20, 10, 2, 95, 49, 1)
(5121, 20, 10, 3, 99, 26, 1)
(5122, 48, 10, 1, 116, 42, 1)
(5123, 56, 12, 2, 114, 45, 1)
(5124, 42, 8, 3, 20, 17, 1)
(5125, 40, 10, 3, 88, 52, 1)
(5126, 50, 15, 1, 40, 57, 1)
(5127, 36, 10, 3, 19, 88, 0)
(5128, 48, 15, 2, 94, 137, 1)
(5129, 36, 15, 2, 87, 26, 1)
(5130, 36, 10, 3, 137, 110, 1)
(5131, 30, 10, 4, 126, 80, 1)
(5132, 36, 8, 4, 46, 56, 1)
(5133, 36, 10, 1, 93, 37, 1)
(5134, 30, 15, 3, 10, 23, 1)
(5135, 36, 15, 2, 24, 125, 1)
(5136, 40, 8, 3, 122, 142, 1)
(5137, 30, 12, 3, 41, 143, 1)
(5138, 30, 10, 1, 105, 11, 1)
(5139, 60, 15, 4, 31, 88, 1)
(5140, 42, 8, 4, 127, 70, 1)
(5141, 20, 8, 4, 108, 31, 1)
(5142, 56, 10, 4, 35, 65, 1)
(5143, 24, 10, 2, 130, 136, 1)
(5144, 30, 15, 1, 26, 105, 1)
(5145, 20, 8, 4, 141, 84, 1)
(5146, 42, 8, 3, 128, 124, 1)
(5147, 60, 15, 3, 21, 121, 1)
(5148, 24, 8, 4, 109, 64, 1)
(5149, 20, 8, 4, 75, 14, 1)
(5150, 40, 15, 2, 18, 30, 1)
(5151, 40, 8, 4, 53, 47, 1)
(5152, 40, 8, 3, 125, 86, 1)
(5153, 60, 12, 2, 135, 55, 1)
(5154, 60, 10, 2, 42, 123, 1)
(5155, 40, 8, 1, 126, 93, 1)
(5156, 24, 12, 4, 24, 79, 1)
(5157, 24, 12, 4, 28, 19, 1)
(5158, 36, 10, 3, 66, 92, 1)
(5159, 36, 8, 1, 137, 124, 0)
(5160, 40, 8, 2, 44, 107, 1)
(5161, 24, 12, 1, 2, 68, 1)
(5162, 56, 8, 3, 12, 107, 0)
(5163, 20, 15, 3, 143, 108, 1)
(5164, 36, 12, 2, 92, 130, 1)
(5165, 42, 12, 3, 18, 73, 0)
(5166, 30, 8, 1, 52, 92, 1)
(5167, 20, 12, 4, 120, 3, 1)
(5168, 40, 15, 2, 124, 8, 1)
(5169, 24, 12, 4, 93, 67, 1)
(5170, 30, 12, 4, 85, 18, 1)
(5171, 60, 8, 2, 104, 58, 1)
(5172, 30, 10, 3, 115, 89, 1)
(5173, 48, 10, 3, 136, 72, 1)
(5174, 40, 10, 3, 91, 36, 1)
(5175, 50, 12, 2, 38, 54, 1)
(5176, 48, 12, 3, 78, 19, 1)
(5177, 50, 12, 3, 106, 129, 1)
(5178, 20, 15, 2, 11, 115, 1)
(5179, 40, 15, 1, 47, 44, 1)
(5180, 50, 8, 4, 29, 1, 1)
(5181, 48, 12, 1, 56, 137, 0)
(5182, 56, 8, 4, 101, 20, 0)
(5183, 20, 10, 1, 54, 129, 1)
(5184, 56, 10, 2, 16, 121, 1)
(5185, 40, 10, 4, 107, 16, 1)
(5186, 42, 15, 2, 138, 75, 1)
(5187, 40, 8, 4, 6, 56, 1)
(5188, 56, 12, 2, 11, 128, 1)
(5189, 24, 12, 3, 94, 1, 1)
(5190, 40, 8, 4, 123, 134, 1)
(5191, 56, 15, 4, 81, 62, 1)
(5192, 56, 10, 1, 107, 21, 1)
(5193, 48, 8, 3, 86, 43, 1)
(5194, 56, 8, 2, 27, 73, 1)
(5195, 40, 12, 2, 42, 83, 1)
(5196, 60, 10, 4, 64, 126, 1)
(5197, 48, 12, 3, 117, 132, 1)
(5198, 40, 10, 2, 62, 112, 1)
(5199, 56, 15, 2, 106, 69, 1)
(5200, 48, 15, 3, 84, 53, 1)
(5201, 20, 8, 1, 100, 109, 1)
(5202, 42, 12, 1, 143, 28, 1)
(5203, 40, 8, 1, 23, 3, 1)
(5204, 40, 8, 4, 37, 35, 1)
(5205, 20, 8, 4, 117, 126, 1)
(5206, 40, 15, 4, 138, 116, 1)
(5207, 40, 8, 2, 127, 34, 1)
(5208, 40, 12, 3, 60, 41, 1)
(5209, 42, 10, 3, 57, 96, 1)
(5210, 20, 10, 3, 15, 5, 1)
(5211, 50, 12, 3, 14, 123, 1)
(5212, 56, 12, 4, 39, 60, 1)
(5213, 48, 12, 3, 72, 135, 1)
(5214, 20, 10, 2, 25, 27, 1)
(5215, 24, 12, 1, 57, 103, 1)
(5216, 20, 10, 4, 13, 34, 1)
(5217, 36, 10, 2, 2, 141, 1)
(5218, 24, 12, 2, 45, 136, 1)
(5219, 48, 12, 2, 9, 94, 1)
(5220, 42, 8, 1, 79, 142, 1)
(5221, 36, 15, 3, 116, 14, 1)
(5222, 50, 15, 4, 27, 40, 1)
(5223, 42, 8, 1, 51, 133, 1)
(5224, 42, 15, 1, 87, 22, 1)
(5225, 24, 10, 1, 13, 63, 1)
(5226, 40, 8, 1, 83, 134, 0)
(5227, 24, 8, 4, 83, 39, 1)
(5228, 60, 12, 3, 36, 46, 1)
(5229, 42, 8, 4, 98, 6, 1)
(5230, 24, 8, 1, 81, 30, 1)
(5231, 50, 12, 4, 50, 6, 1)
(5232, 50, 12, 4, 98, 46, 1)
(5233, 60, 8, 4, 131, 143, 1)
(5234, 56, 15, 4, 130, 113, 1)
(5235, 56, 15, 2, 109, 139, 1)
