(5000, 0.0, 0.25)
(5001, 0.0, 0.0)
(5002, 3.0, 1.0)
(5003, 0.0, 0.0)
(5004, 0.5, 2.0)
(5005, 2.0, 0.5)
(5006, 0.0, 0.0)
(5007, 1.0, 1.0)
(5008, 0.0, 0.0)
(5009, 0.0, 0.0)
(5010, 0.0, 0.0)
(5011, 0.5, 1.6666666666666665)
(5012, 0.0, 0.0)
(5013, 0.5, 2.0)
(5014, 0.0, 0.5)
(5015, 0.0, 0.0)
(5016, 0.0, 0.0)
(5017, 2.3333333333333335, 0.0)
(5018, 0.0, 0.0)
(5019, 0.0, 0.0)
(5020, 0.5, 0.33333333333333326)
(5021, 0.0, 0.0)
(5022, 0.0, 0.0)
(5023, 1.1666666666666665, 0.5)
(5024, 0.0, 0.6666666666666666)
(5025, 1.3333333333333335, 2.3333333333333335)
(5026, 1.6666666666666665, 0.0)
(5027, 2.3333333333333335, 3.0)
(5028, 0.0, 0.0)
(5029, 0.5, 0.0)
(5030, 0.0, 0.0)
(5031, 0.0, 0.0)
(5032, 0.0, 0.0)
(5033, 0.0, 0.0)
(5034, 0.5, 0.0)
(5035, 0.75, 0.25)
(5036, 0.0, 0.0)
(5037, 0.0, 0.0)
(5038, 2.3333333333333335, 0.6666666666666667)
(5039, 0.0, 0.11111111111111116)
(5040, 0.0, 0.5)
(5041, 0.0, 0.0)
(5042, 0.0, 0.0)
(5043, 3.0, 0.0)
(5044, 0.6666666666666667, 2.5)
(5045, 0.0, 0.0)
(5046, 0.8333333333333333, 0.75)
(5047, 0.75, 0.5)
(5048, 2.0, 4.0)
(5049, 0.8333333333333333, 0.8333333333333333)
(5050, 0.11111111111111116, 0.16666666666666666)
(5051, 0.0, 0.0)
(5052, 0.0, 0.11111111111111116)
(5053, 0.0, 0.0)
(5054, 0.0, 0.0)
(5055, 0.0, 0.0)
(5056, 0.0, 0.0)
(5057, 0.11111111111111116, 0.16666666666666666)
(5058, 2.0, 3.0)
(5059, 0.0, 0.0)
(5060, 0.0, 0.0)
(5061, 0.8333333333333333, 0.75)
(5062, 0.0, 0.0)
(5063, 0.11111111111111116, 0.0)
(5064, 0.0, 0.0)
(5065, 0.0, 0.11111111111111116)
(5066, 0.0, 0.0)
(5067, 1.0, 0.33333333333333326)
(5068, 0.8333333333333333, 0.75)
(5069, 0.0, 0.0)
(5070, 3.0, 2.0)
(5071, 0.0, 0.0)
(5072, 0.44444444444444436, 0.11111111111111116)
(5073, 0.0, 0.0)
(5074, 0.0, 0.0)
(5075, 0.33333333333333326, 0.75)
(5076, 0.0, 0.0)
(5077, 0.0, 0.0)
(5078, 2.0, 3.333333333333333)
(5079, 0.0, 0.0)
(5080, 0.8333333333333333, 0.0)
(5081, 1.3333333333333335, 0.0)
(5082, 0.33333333333333326, 0.5)
(5083, 3.0, 2.0)
(5084, 0.0, 0.0)
(5085, 0.0, 0.0)
(5086, 0.6666666666666667, 0.0)
(5087, 0.6666666666666667, 1.5)
(5088, 0.0, 0.0)
(5089, 0.0, 0.0)
(5090, 2.5, 1.0)
(5091, 0.0, 0.0)
(5092, 2.6666666666666665, 2.0)
(5093, 0.6666666666666667, 1.0)
(5094, 0.0, 0.0)
(5095, 0.5, 1.5)
(5096, 0.5, 0.6666666666666666)
(5097, 2.0, 4.0)
(5098, 0.0, 0.75)
(5099, 0.0, 0.0)
(5100, 0.0, 0.0)
(5101, 1.0, 3.0)
(5102, 0.0, 0.0)
(5103, 0.0, 0.0)
(5104, 0.0, 0.0)
